Discord Name;Geoguessr Name
definitelynottim;ucld
Tzwen;Tzwen
Nullcinder;Nullcinder
melli_3535;mells
ilivethere_69789;speechless
Ofendani;Ofendani
ttef;ttef
allil01;Malte
garvin.g;Garvin
soulofdestiny;soulofdestiny
maki_55;MaKi
Grubnlicht;Grubnlicht
xlastkiwi;xlastkiwi
olinem1919;MoinMoin
ImAkiro;ImAkiro
