Discord Name;Geoguessr Name
Maxigamer;Maxigamer
Fala777;Fala777
noahtrixx;Noahtrix
×͜×Leander×͜×;MARLON
Luizzo8;Luizzo8
PedrockGHG;Pedrock
Gustje;gustje
Fritte787;FritteGHG
tamilos;Tamilos_BuHi
Foulenzer;flnzr
hype069347;#Hype
meisteralex;einmeisteralex
hendrik.de;Hendrik W3eze
chrispunkt;chrispunkt
