Discord Name;Geoguessr Name
_.ytho;AI Generated Brain
Blaboo;Blaboo
_packisback;Jakob
kodiak1777;Kodiak
Renegade;Renegade
Reynardo;Reynardo
tjay0501;Tjay
jogilochi;jogilochi
aebi07;Aebi
rasenderr;Rasender
Felix3004;[ODG]Felix
icepelican;icepelican
circrush_enjoyer;Jay
nightgod4061;Nightgod
yanek07;Yanek
toto137;SnowySteppe046
