Discord Name;Geoguessr Name
Luca_0509;Luca
NivE;Nive(sus)
yuergenos;Yürgenos
ymot;ymot
deathgrippernr1;Arn
dreifachpunkt.;dreifachpunkt.
FCBKingProfi;ra1n
DerRillePeter;Ratkan
b3nster;Benster
Devoloo;Devoloo07
Xilkon;Xilkon
kosm1r;Kaso
aaronthug;AaronThug
Calamityx7;Calamityx7
malte4608;AgentM

