Discord Name;Geoguessr Name
loda18;LoDa
Jonatex;Jonatex
snens;snens
manaphy4218;ManaphyIstToll
SoraNoTenshi;SoraNoTenshi
toledoseahawks;RobertSven
flummi17;flummi17
sadi2937;Luggas
panpano;Emil H.
cheesy187;Cheese
Falcon_Skillz;Falcon Skillz
gremlynCH;gremlynCH
guhlas;Gulas
citizen1kane;Basiert
